356
10
9596600
9420000
0 1 1 27 7 6 (D 0,1,1) (S 1,2,2) (S 3,4,4) (S 9,12,12) (S 16,12,13) (D 0,1,1)
0 1 2 27 19 6 (D 0,1,1) (S 10,14,14) (S 41,14,18) (S 12,18,18) (S 35,8,24) (D 0,1,1)
0 1 3 27 17 6 (D 0,1,1) (S 31,24,27) (S 7,8,8) (S 5,6,6) (S 28,5,9) (D 0,1,1)
0 1 4 27 26 8 (D 0,1,1) (S 4,5,5) (S 18,4,5) (S 8,10,10) (S 30,4,19) (S 32,2,1) (S 29,1,24) (D 0,1,1)
0 1 5 27 36 6 (D 0,1,1) (S 2,3,3) (S 38,3,8) (S 24,8,9) (S 26,23,26) (D 0,1,1)
0 1 6 27 29 6 (D 0,1,1) (S 44,26,27) (S 39,1,19) (S 11,17,17) (S 14,21,21) (D 0,1,1)
0 1 7 27 26 6 (D 0,1,1) (S 13,20,20) (S 17,18,21) (S 27,21,23) (S 19,22,25) (D 0,1,1)
0 1 8 27 61 8 (D 0,1,1) (S 15,22,22) (S 37,23,24) (S 6,7,7) (S 42,3,6) (S 34,13,14) (S 22,25,26) (D 0,1,1)
0 1 9 27 45 6 (D 0,1,1) (S 36,6,9) (S 45,13,15) (S 43,15,17) (S 33,1,27) (D 0,1,1)
0 1 10 15 90 7 (D 0,1,1) (S 21,1,15) (S 20,14,20) (S 25,21,22) (S 23,15,20) (S 40,16,17) (D 0,1,1)
